gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"201","47010",โรงเรียนวัดนันทาราม,WAT NANTHARAM SCHOOL,ถนนรพช. ชม. 5250 (บ้านยวม-บ้านโชค),RO PHO CHO. CHIANG MAI 5250 RD. (BAN YUAM-BAN CHOK),"1",Schools_landmark,./0.png
"202","47010",โรงเรียนบ้านตองกาย,BAN TONG KAI SCHOOL,ทางหลวงแผ่นดินหมายเลข 121,HIGHWAY 121,"1",Schools_landmark,./0.png
"203","47010",โรงเรียนวัดพระนอนหนองผึ้ง (จันทราษฎร์ประสาท),WAT PHRA NON NONG PHUENG SCHOOL (CHANTHA RAT PRASAT),ทางหลวงแผ่นดินหมายเลข 106,HIGHWAY 106,"1",Schools_landmark,./0.png
"204","47010",โรงเรียนวัดบ้านน้อย,WAT BAN NOI SCHOOL,ถนนโยธาธิการ ชม. (บ้านน้อย-ถนนดอนจั่น-น้ำพุร้อน),YOTHATHIKAN CHIANG MAI RD. (BAN NOI-DON CHAN RD.-NAMPHU RON),"1",Schools_landmark,./0.png
"205","47010",โรงเรียนวัดดอนชัย,WAT DON CHAI SCHOOL,ถนนโยธาธิการ ชม. 2171 (เลียบแม่น้ำปิง),YOTHATHIKAN CHIANG MAI 2171 RD. (LIAP PING RIVER),"1",Schools_landmark,./0.png
"206","47010",โรงเรียนชุมชนวัดศรีคำชมภู,WAT SI KHAM CHOMPHU COMMUNITY SCHOOL,ถนนรพช. ชม. 4249 (บ้านสันป่าค่า-บ้านไชยสถาน),RO PHO CHO. CHIANG MAI 4249 RD. (BAN SAN PA KHA-BAN CHAIYA SATHAN),"1",Schools_landmark,./0.png
"207","47010",โรงเรียนสหศีกษา,SAHA SUEKSA SCHOOL,ทางหลวงแผ่นดินหมายเลข 11,HIGHWAY 11,"1",Schools_landmark,./0.png
"208","47010",โรงเรียนบ้านดอนปิน,BAN DON PIN SCHOOL,ถนนเมฆราประชาบำรุง,MEKHARA PRACHA BANRUNG RD.,"1",Schools_landmark,./0.png
"209","47010",โรงเรียนสืบนทีธรรม,SUEP NATHI THAM SCHOOL,ถนนโยธาธิการ ชม. 2171 (เลียบแม่น้ำปิง),YOTHATHIKAN CHIANG MAI 2171 RD. (LIAP PING RIVER),"1",Schools_landmark,./0.png
"210","47010",โรงเรียนวัดกองทราย,WAT KONG SAI SCHOOL,ทางหลวงแผ่นดินหมายเลข 106,HIGHWAY 106,"1",Schools_landmark,./0.png
"211","47010",โรงเรียนวัดเทพาราม,WAT THEPHARAM SCHOOL,ถนนรพช. ชม. 4090 (บ้านชมพู-บ้านบวกค้าง),RO PHO CHO. CHIANG MAI 4090 RD. (BAN CHOMPHU-BAN BUAK KHANG),"1",Schools_landmark,./0.png
"212","47010",โรงเรียนนานาชาติเกรซเชียงใหม่,GRACE INTERNATIONAL SCHOOL,ถนนครุยบุณยสิงห์,KRUI PUNYASINGH RD.,"1",Schools_landmark,./0.png
"213","47010",โรงเรียนวัดป่ากล้วย,WAT PA KLUAI SCHOOL,ถนนโยธาธิการ ชม. 2171 (เลียบแม่น้ำปิง),YOTHATHIKAN CHIANG MAI 2171 RD. (LIAP PING RIVER),"1",Schools_landmark,./0.png
"214","47010",โรงเรียนบ้านฟ่อน,BAN FON SCHOOL,ถนนบ้านกองขิง,BAN KONG KHING RD.,"1",Schools_landmark,./0.png
"215","47010",โรงเรียนบ้านป่าตาล,BAN PA TAN SCHOOL,ทางหลวงแผ่นดินหมายเลข 121,HIGHWAY 121,"1",Schools_landmark,./0.png
"216","47010",โรงเรียนบ้านต้นเกว๋น,BAN TON KWEN SCHOOL,ถนนรพช. ชม. 4002 (บ้านสันป่าสัก-บ้านต้นเกว๋น),RO PHO CHO. CHIANG MAI 4002 RD. (BAN SAN PA SAK-BAN TON KWAEN),"1",Schools_landmark,./0.png
"217","47010",โรงเรียนวัดป่าตาล,WAT PA TAN SCHOOL,ถนนรพช. ชม. 4090 (บ้านบวกค้าง-บ้านชมพู),RO PHO CHO. CHIANG MAI 4090 RD. (BAN BUAK KHANG-BAN CHOMPHU),"1",Schools_landmark,./0.png
